Team,ERA,W-L,G,CG,SHO/CBO,SV,IP,H,R,ER,BB,SO,2B,3B,HR,AB,B/Avg,WP,HBP,BK,SFA,SHA
Savannah State......,2.47,26-24,50,41,7/0,2,335.0,351,179,118,74,237,62,6,22,1326,.265,27,33,0,12,24
Norfolk State.......,3.09,24-25,49,22,9/0,2,326.1,369,172,144,114,196,57,4,21,1296,.285,28,22,1,10,47
Florida A&M.........,3.16,28-29,57,21,8/0,3,372.2,395,238,168,116,166,49,12,26,1499,.264,24,25,1,12,35
Coppin State........,3.24,20-22,42,25,3/0,3,278.2,300,185,129,88,245,68,12,12,1132,.265,44,17,0,9,23
Bethune-Cookman.....,3.81,30-31,61,55,6/0,0,381.2,490,277,208,94,131,56,3,29,1600,.306,27,55,0,14,47
Delaware State......,3.89,25-18,44,7,6/5,6,284.0,339,185,158,121,140,50,7,18,1160,.292,16,14,0,12,27
Hampton.............,4.36,24-33,57,37,2/1,0,363.0,436,294,226,189,243,67,10,28,1484,.294,44,38,0,11,36
South Carolina State  4.51,13-29,43,20,2/1,2,271.1,406,262,175,75,162,54,23,15,1209,.336,14,25,0,11,27
Morgan State........,5.12,12-23,35,14,0/0,1,227.0,324,212,166,76,110,55,11,25,966,.335,11,27,1,18,23
North Carolina A&T..,5.39,16-35,51,38,3/0,0,318.1,458,321,245,137,137,69,25,28,1409,.325,22,23,0,13,38
N.C.,Central........,6.39,4-43,48,29,0/0,0,285.0,479,383,260,111,115,73,10,40,1322,.362,30,54,2,21,37
Howard..............,6.75,11-36,47,25,2/0,1,290.1,451,360,280,167,143,80,18,35,1298,.347,45,28,2,13,27
Maryland E.,Shore...,7.81,0-33,33,33,0/0,0,191.0,362,311,213,46,72,62,21,20,976,.371,14,31,0,17,16
Totals..............,4.44,617,48/7,3924.1,3379,1408,802,319,.309,392,173
233-381,367,20,5160,2490,2097,162,16677,346,7,407
PB - Pirates 38, Bulldogs 33, Eagles 31, Bison 27, Eagles 26, Hawks 22, Aggies 22, Tigers 19, Rattlers 14, Bears 11, Spartans
8, Hornets 7, Wildcats 4.,Pickoffs - Pirates 6, Tigers 4, Spartans 4, Rattlers 2, Bears 2, Aggies 2, Hornets 1, Eagles 1,
Bison 1.
